央视频道,#genre#
浙江卫视,http://118.249.4.215:8082/hls/22/index.m3u8
海南卫视,http://1.24.190.134:10080/hls/99/index.m3u8
海南卫视,http://118.249.4.215:8082/hls/31/index.m3u8
深圳卫视,http://114.104.171.233:20080/hls/38/index.m3u8
深圳卫视,http://221.0.78.198:1681/hls/10235/index.m3u8
深圳卫视,http://123.10.77.236:808/hls/41/index.m3u8
深圳卫视,http://60.220.147.32:808/hls/35/index.m3u8
深圳卫视,http://60.220.147.154:808/hls/35/index.m3u8
深圳卫视,http://123.10.78.233:808/hls/41/index.m3u8
深圳卫视,http://110.241.188.74:808/hls/23/index.m3u8
深圳卫视,http://58.17.48.228:808/hls/52/index.m3u8
湖北卫视,http://123.10.77.236:808/hls/43/index.m3u8
湖北卫视,http://123.10.78.233:808/hls/43/index.m3u8
湖北卫视,http://114.104.171.233:20080/hls/35/index.m3u8
湖北卫视,http://1.183.141.194:8001/hls/37/index.m3u8
湖北卫视,http://111.61.236.247:9081/hls/39/index.m3u8
湖北卫视,http://60.220.147.32:808/hls/37/index.m3u8
湖北卫视,http://60.220.147.154:808/hls/37/index.m3u8
湖北卫视,http://118.249.4.215:8082/hls/32/index.m3u8
湖南卫视,http://114.104.171.233:20080/hls/15/index.m3u8
湖南卫视,http://60.220.147.32:808/hls/21/index.m3u8
湖南卫视,http://123.10.78.233:808/hls/33/index.m3u8
湖南卫视,http://118.249.4.215:8082/hls/17/index.m3u8
湖南卫视,http://1.70.11.191:808/hls/21/index.m3u8
湖南卫视,http://1.24.190.134:10080/hls/60/index.m3u8
甘肃卫视,http://60.220.147.32:808/hls/43/index.m3u8
甘肃卫视,http://60.220.147.154:808/hls/43/index.m3u8
甘肃卫视,http://123.10.77.236:808/hls/58/index.m3u8
甘肃卫视,http://58.17.48.228:808/hls/64/index.m3u8
甘肃卫视,http://123.10.78.233:808/hls/58/index.m3u8
甘肃卫视,http://221.0.78.198:1681/hls/10250/index.m3u8
甘肃卫视,http://1.70.11.191:808/hls/43/index.m3u8
甘肃卫视,http://118.249.4.215:8082/hls/48/index.m3u8
西藏卫视,http://221.0.78.198:1681/hls/10255/index.m3u8
西藏卫视,http://114.104.171.233:20080/hls/39/index.m3u8
西藏卫视,http://60.220.147.32:808/hls/51/index.m3u8
西藏卫视,http://60.220.147.154:808/hls/51/index.m3u8
西藏卫视,http://1.70.11.191:808/hls/51/index.m3u8
西藏卫视,http://111.61.236.247:9081/hls/52/index.m3u8
西藏卫视,http://118.249.4.215:8082/hls/46/index.m3u8
贵州卫视,http://221.0.78.198:1681/hls/10249/index.m3u8
贵州卫视,http://114.104.171.233:20080/hls/31/index.m3u8
贵州卫视,http://60.220.147.154:808/hls/31/index.m3u8
贵州卫视,http://111.61.236.247:9081/hls/37/index.m3u8
贵州卫视,http://60.220.147.32:808/hls/31/index.m3u8
贵州卫视,http://1.183.141.194:8001/hls/35/index.m3u8
贵州卫视,http://1.70.11.191:808/hls/31/index.m3u8
贵州卫视,http://1.24.190.134:10080/hls/91/index.m3u8
辽宁卫视,http://114.104.171.233:20080/hls/33/index.m3u8
辽宁卫视,http://60.220.147.154:808/hls/23/index.m3u8
辽宁卫视,http://123.10.77.236:808/hls/48/index.m3u8
辽宁卫视,http://111.61.236.247:9081/hls/30/index.m3u8
辽宁卫视,http://110.241.188.74:808/hls/28/index.m3u8
辽宁卫视,http://123.10.78.233:808/hls/48/index.m3u8
辽宁卫视,http://1.70.11.191:808/hls/23/index.m3u8
辽宁卫视,http://222.219.183.103:8089/hls/35/index.m3u8
重庆卫视,http://221.0.78.198:1681/hls/10238/index.m3u8
重庆卫视,http://1.183.141.194:8001/hls/39/index.m3u8
重庆卫视,http://60.220.147.32:808/hls/38/index.m3u8
重庆卫视,http://60.220.147.154:808/hls/38/index.m3u8
重庆卫视,http://123.10.78.233:808/hls/50/index.m3u8
重庆卫视,http://110.241.188.74:808/hls/33/index.m3u8
重庆卫视,http://111.61.236.247:9081/hls/41/index.m3u8
重庆卫视,http://118.249.4.215:8082/hls/35/index.m3u8
陕西卫视,http://123.10.77.236:808/hls/57/index.m3u8
陕西卫视,http://114.104.171.233:20080/hls/29/index.m3u8
陕西卫视,http://60.220.147.154:808/hls/41/index.m3u8
陕西卫视,http://60.220.147.32:808/hls/41/index.m3u8
陕西卫视,http://110.241.188.74:808/hls/37/index.m3u8
陕西卫视,http://123.10.78.233:808/hls/57/index.m3u8
陕西卫视,http://111.61.236.247:9081/hls/46/index.m3u8
陕西卫视,http://118.249.4.215:8082/hls/42/index.m3u8
青海卫视,http://221.0.78.198:1681/hls/10252/index.m3u8
青海卫视,http://114.104.171.233:20080/hls/40/index.m3u8
青海卫视,http://60.220.147.32:808/hls/46/index.m3u8
青海卫视,http://60.220.147.154:808/hls/46/index.m3u8
青海卫视,http://123.10.78.233:808/hls/60/index.m3u8
青海卫视,http://110.241.188.74:808/hls/40/index.m3u8
青海卫视,http://58.17.48.228:808/hls/59/index.m3u8
青海卫视,http://221.0.78.26:881/hls/50259/index.m3u8
黑龙江卫视,http://114.104.171.233:20080/hls/37/index.m3u8
黑龙江卫视,http://123.10.77.30:808/hls/45/index.m3u8
黑龙江卫视,http://123.10.77.236:808/hls/45/index.m3u8
黑龙江卫视,http://182.122.72.181:8089/hls/42/index.m3u8
黑龙江卫视,http://1.24.190.134:10080/hls/70/index.m3u8
黑龙江卫视,http://118.249.4.215:8082/hls/38/index.m3u8
黑龙江卫视,http://1.183.141.194:8001/hls/32/index.m3u8
